ESTAR: Stopping Powers and Range Tables for Electrons

TANTALUM                                                                   

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	9.035E+00	1.967E-02	9.055E+00	
1.250E-02	7.857E+00	2.153E-02	7.878E+00	
1.500E-02	6.988E+00	2.306E-02	7.011E+00	
1.750E-02	6.320E+00	2.434E-02	6.344E+00	
2.000E-02	5.787E+00	2.545E-02	5.813E+00	
2.500E-02	4.990E+00	2.732E-02	5.017E+00	
3.000E-02	4.419E+00	2.885E-02	4.447E+00	
3.500E-02	3.988E+00	3.017E-02	4.018E+00	
4.000E-02	3.650E+00	3.132E-02	3.681E+00	
4.500E-02	3.378E+00	3.237E-02	3.410E+00	
5.000E-02	3.154E+00	3.332E-02	3.187E+00	
5.500E-02	2.965E+00	3.420E-02	3.000E+00	
6.000E-02	2.805E+00	3.503E-02	2.840E+00	
7.000E-02	2.546E+00	3.655E-02	2.583E+00	
8.000E-02	2.346E+00	3.793E-02	2.384E+00	
9.000E-02	2.187E+00	3.919E-02	2.226E+00	
1.000E-01	2.057E+00	4.037E-02	2.097E+00	
1.250E-01	1.817E+00	4.301E-02	1.860E+00	
1.500E-01	1.653E+00	4.536E-02	1.699E+00	
1.750E-01	1.535E+00	4.751E-02	1.583E+00	
2.000E-01	1.446E+00	4.953E-02	1.495E+00	
2.500E-01	1.321E+00	5.339E-02	1.375E+00	
3.000E-01	1.240E+00	5.715E-02	1.297E+00	
3.500E-01	1.183E+00	6.092E-02	1.244E+00	
4.000E-01	1.142E+00	6.471E-02	1.207E+00	
4.500E-01	1.112E+00	6.856E-02	1.181E+00	
5.000E-01	1.090E+00	7.247E-02	1.162E+00	
5.500E-01	1.072E+00	7.644E-02	1.149E+00	
6.000E-01	1.059E+00	8.047E-02	1.139E+00	
7.000E-01	1.040E+00	8.866E-02	1.129E+00	
8.000E-01	1.029E+00	9.706E-02	1.126E+00	
9.000E-01	1.023E+00	1.056E-01	1.129E+00	
1.000E+00	1.020E+00	1.144E-01	1.134E+00	
1.250E+00	1.019E+00	1.369E-01	1.156E+00	
1.500E+00	1.025E+00	1.604E-01	1.185E+00	
1.750E+00	1.033E+00	1.845E-01	1.217E+00	
2.000E+00	1.041E+00	2.092E-01	1.251E+00	
2.500E+00	1.059E+00	2.600E-01	1.319E+00	
3.000E+00	1.077E+00	3.123E-01	1.389E+00	
3.500E+00	1.092E+00	3.658E-01	1.458E+00	
4.000E+00	1.106E+00	4.203E-01	1.527E+00	
4.500E+00	1.119E+00	4.756E-01	1.595E+00	
5.000E+00	1.131E+00	5.317E-01	1.663E+00	
5.500E+00	1.142E+00	5.885E-01	1.730E+00	
6.000E+00	1.152E+00	6.459E-01	1.798E+00	
7.000E+00	1.169E+00	7.624E-01	1.932E+00	
8.000E+00	1.184E+00	8.806E-01	2.065E+00	
9.000E+00	1.198E+00	1.001E+00	2.198E+00	
1.000E+01	1.210E+00	1.122E+00	2.331E+00	
1.250E+01	1.234E+00	1.430E+00	2.664E+00	
1.500E+01	1.254E+00	1.744E+00	2.998E+00	
1.750E+01	1.271E+00	2.063E+00	3.334E+00	
2.000E+01	1.285E+00	2.386E+00	3.670E+00	
2.500E+01	1.308E+00	3.040E+00	4.348E+00	
3.000E+01	1.325E+00	3.705E+00	5.030E+00	
3.500E+01	1.340E+00	4.377E+00	5.717E+00	
4.000E+01	1.352E+00	5.055E+00	6.408E+00	
4.500E+01	1.363E+00	5.739E+00	7.102E+00	
5.000E+01	1.372E+00	6.426E+00	7.799E+00	
5.500E+01	1.381E+00	7.118E+00	8.498E+00	
6.000E+01	1.388E+00	7.812E+00	9.200E+00	
7.000E+01	1.401E+00	9.208E+00	1.061E+01	
8.000E+01	1.412E+00	1.061E+01	1.202E+01	
9.000E+01	1.421E+00	1.202E+01	1.344E+01	
1.000E+02	1.430E+00	1.344E+01	1.487E+01	
1.250E+02	1.447E+00	1.700E+01	1.845E+01	
1.500E+02	1.460E+00	2.058E+01	2.204E+01	
1.750E+02	1.472E+00	2.417E+01	2.564E+01	
2.000E+02	1.481E+00	2.776E+01	2.924E+01	
2.500E+02	1.497E+00	3.498E+01	3.648E+01	
3.000E+02	1.510E+00	4.221E+01	4.372E+01	
3.500E+02	1.520E+00	4.945E+01	5.097E+01	
4.000E+02	1.529E+00	5.670E+01	5.823E+01	
4.500E+02	1.537E+00	6.396E+01	6.550E+01	
5.000E+02	1.544E+00	7.123E+01	7.277E+01	
5.500E+02	1.550E+00	7.850E+01	8.005E+01	
6.000E+02	1.556E+00	8.577E+01	8.733E+01	
7.000E+02	1.566E+00	1.003E+02	1.019E+02	
8.000E+02	1.575E+00	1.149E+02	1.165E+02	
9.000E+02	1.582E+00	1.295E+02	1.311E+02	
1.000E+03	1.589E+00	1.441E+02	1.457E+02	
