PSTAR: Stopping Powers and Range Tables for Protons

SILVER                                                                  

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	2.973E+01	2.169E+00	3.190E+01	
1.500E-03	3.641E+01	2.153E+00	3.857E+01	
2.000E-03	4.205E+01	2.115E+00	4.416E+01	
2.500E-03	4.701E+01	2.071E+00	4.908E+01	
3.000E-03	5.150E+01	2.024E+00	5.352E+01	
4.000E-03	5.946E+01	1.931E+00	6.140E+01	
5.000E-03	6.648E+01	1.845E+00	6.833E+01	
6.000E-03	7.283E+01	1.767E+00	7.460E+01	
7.000E-03	7.866E+01	1.695E+00	8.036E+01	
8.000E-03	8.409E+01	1.630E+00	8.573E+01	
9.000E-03	8.920E+01	1.571E+00	9.077E+01	
1.000E-02	9.402E+01	1.517E+00	9.554E+01	
1.250E-02	1.037E+02	1.399E+00	1.051E+02	
1.500E-02	1.121E+02	1.302E+00	1.134E+02	
1.750E-02	1.197E+02	1.220E+00	1.209E+02	
2.000E-02	1.266E+02	1.149E+00	1.277E+02	
2.250E-02	1.328E+02	1.088E+00	1.339E+02	
2.500E-02	1.385E+02	1.034E+00	1.395E+02	
2.750E-02	1.437E+02	9.861E-01	1.447E+02	
3.000E-02	1.485E+02	9.432E-01	1.495E+02	
3.500E-02	1.571E+02	8.695E-01	1.579E+02	
4.000E-02	1.643E+02	8.081E-01	1.651E+02	
4.500E-02	1.705E+02	7.561E-01	1.713E+02	
5.000E-02	1.757E+02	7.113E-01	1.764E+02	
5.500E-02	1.801E+02	6.723E-01	1.808E+02	
6.000E-02	1.837E+02	6.379E-01	1.844E+02	
6.500E-02	1.867E+02	6.074E-01	1.873E+02	
7.000E-02	1.891E+02	5.800E-01	1.897E+02	
7.500E-02	1.911E+02	5.553E-01	1.916E+02	
8.000E-02	1.925E+02	5.329E-01	1.931E+02	
8.500E-02	1.936E+02	5.125E-01	1.941E+02	
9.000E-02	1.944E+02	4.938E-01	1.949E+02	
9.500E-02	1.948E+02	4.765E-01	1.953E+02	
1.000E-01	1.950E+02	4.606E-01	1.955E+02	
1.250E-01	1.934E+02	3.961E-01	1.938E+02	
1.500E-01	1.893E+02	3.490E-01	1.897E+02	
1.750E-01	1.844E+02	3.129E-01	1.847E+02	
2.000E-01	1.792E+02	2.842E-01	1.795E+02	
2.250E-01	1.741E+02	2.608E-01	1.744E+02	
2.500E-01	1.693E+02	2.413E-01	1.696E+02	
