PSTAR: Stopping Powers and Range Tables for Protons

ARGON                                                                   

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	8.608E+01	7.470E+00	9.355E+01	
1.500E-03	1.054E+02	6.891E+00	1.123E+02	
2.000E-03	1.217E+02	6.398E+00	1.281E+02	
2.500E-03	1.361E+02	5.980E+00	1.421E+02	
3.000E-03	1.491E+02	5.623E+00	1.547E+02	
4.000E-03	1.722E+02	5.045E+00	1.772E+02	
5.000E-03	1.925E+02	4.594E+00	1.971E+02	
6.000E-03	2.109E+02	4.231E+00	2.151E+02	
7.000E-03	2.277E+02	3.931E+00	2.317E+02	
8.000E-03	2.435E+02	3.678E+00	2.472E+02	
9.000E-03	2.582E+02	3.460E+00	2.617E+02	
1.000E-02	2.722E+02	3.271E+00	2.755E+02	
1.250E-02	2.997E+02	2.890E+00	3.026E+02	
1.500E-02	3.235E+02	2.599E+00	3.261E+02	
1.750E-02	3.445E+02	2.368E+00	3.469E+02	
2.000E-02	3.633E+02	2.180E+00	3.655E+02	
2.250E-02	3.802E+02	2.023E+00	3.822E+02	
2.500E-02	3.953E+02	1.890E+00	3.972E+02	
2.750E-02	4.090E+02	1.775E+00	4.108E+02	
3.000E-02	4.214E+02	1.675E+00	4.230E+02	
3.500E-02	4.425E+02	1.509E+00	4.440E+02	
4.000E-02	4.594E+02	1.376E+00	4.608E+02	
4.500E-02	4.728E+02	1.266E+00	4.741E+02	
5.000E-02	4.831E+02	1.175E+00	4.843E+02	
5.500E-02	4.907E+02	1.097E+00	4.918E+02	
6.000E-02	4.960E+02	1.030E+00	4.970E+02	
6.500E-02	4.992E+02	9.711E-01	5.002E+02	
7.000E-02	5.007E+02	9.194E-01	5.017E+02	
7.500E-02	5.008E+02	8.734E-01	5.016E+02	
8.000E-02	4.995E+02	8.323E-01	5.003E+02	
8.500E-02	4.972E+02	7.952E-01	4.980E+02	
9.000E-02	4.940E+02	7.616E-01	4.947E+02	
9.500E-02	4.900E+02	7.310E-01	4.907E+02	
1.000E-01	4.855E+02	7.029E-01	4.862E+02	
1.250E-01	4.574E+02	5.920E-01	4.580E+02	
1.500E-01	4.267E+02	5.134E-01	4.272E+02	
1.750E-01	3.977E+02	4.546E-01	3.982E+02	
2.000E-01	3.719E+02	4.088E-01	3.724E+02	
2.250E-01	3.495E+02	3.719E-01	3.499E+02	
2.500E-01	3.301E+02	3.417E-01	3.304E+02	
