PSTAR: Stopping Powers and Range Tables for Protons

IRON                                                                    

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	3.781E+01	5.233E+00	4.304E+01	
1.500E-03	4.631E+01	4.980E+00	5.129E+01	
2.000E-03	5.347E+01	4.734E+00	5.820E+01	
2.500E-03	5.978E+01	4.508E+00	6.429E+01	
3.000E-03	6.549E+01	4.304E+00	6.979E+01	
4.000E-03	7.562E+01	3.954E+00	7.957E+01	
5.000E-03	8.454E+01	3.666E+00	8.821E+01	
6.000E-03	9.261E+01	3.425E+00	9.604E+01	
7.000E-03	1.000E+02	3.220E+00	1.033E+02	
8.000E-03	1.069E+02	3.043E+00	1.100E+02	
9.000E-03	1.134E+02	2.888E+00	1.163E+02	
1.000E-02	1.196E+02	2.750E+00	1.223E+02	
1.250E-02	1.320E+02	2.467E+00	1.345E+02	
1.500E-02	1.430E+02	2.246E+00	1.453E+02	
1.750E-02	1.530E+02	2.066E+00	1.550E+02	
2.000E-02	1.620E+02	1.917E+00	1.640E+02	
2.250E-02	1.704E+02	1.791E+00	1.722E+02	
2.500E-02	1.782E+02	1.683E+00	1.799E+02	
2.750E-02	1.854E+02	1.589E+00	1.870E+02	
3.000E-02	1.922E+02	1.507E+00	1.937E+02	
3.500E-02	2.046E+02	1.368E+00	2.060E+02	
4.000E-02	2.156E+02	1.255E+00	2.169E+02	
4.500E-02	2.254E+02	1.162E+00	2.266E+02	
5.000E-02	2.342E+02	1.083E+00	2.353E+02	
5.500E-02	2.421E+02	1.015E+00	2.431E+02	
6.000E-02	2.492E+02	9.561E-01	2.502E+02	
6.500E-02	2.555E+02	9.044E-01	2.565E+02	
7.000E-02	2.612E+02	8.586E-01	2.621E+02	
7.500E-02	2.662E+02	8.177E-01	2.671E+02	
8.000E-02	2.707E+02	7.810E-01	2.715E+02	
8.500E-02	2.746E+02	7.478E-01	2.754E+02	
9.000E-02	2.781E+02	7.175E-01	2.788E+02	
9.500E-02	2.810E+02	6.899E-01	2.817E+02	
1.000E-01	2.836E+02	6.645E-01	2.842E+02	
1.250E-01	2.909E+02	5.634E-01	2.915E+02	
1.500E-01	2.915E+02	4.911E-01	2.920E+02	
1.750E-01	2.876E+02	4.365E-01	2.880E+02	
2.000E-01	2.810E+02	3.938E-01	2.813E+02	
2.250E-01	2.728E+02	3.593E-01	2.732E+02	
2.500E-01	2.639E+02	3.308E-01	2.643E+02	
