PSTAR: Stopping Powers and Range Tables for Protons

GADOLINIUM                                                              

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	2.571E+01	1.244E+00	2.696E+01	
1.500E-03	3.149E+01	1.257E+00	3.275E+01	
2.000E-03	3.637E+01	1.253E+00	3.762E+01	
2.500E-03	4.066E+01	1.242E+00	4.190E+01	
3.000E-03	4.454E+01	1.227E+00	4.577E+01	
4.000E-03	5.143E+01	1.192E+00	5.262E+01	
5.000E-03	5.750E+01	1.156E+00	5.865E+01	
6.000E-03	6.299E+01	1.121E+00	6.411E+01	
7.000E-03	6.803E+01	1.087E+00	6.912E+01	
8.000E-03	7.273E+01	1.055E+00	7.379E+01	
9.000E-03	7.714E+01	1.025E+00	7.817E+01	
1.000E-02	8.132E+01	9.972E-01	8.231E+01	
1.250E-02	8.978E+01	9.344E-01	9.071E+01	
1.500E-02	9.724E+01	8.804E-01	9.812E+01	
1.750E-02	1.040E+02	8.335E-01	1.048E+02	
2.000E-02	1.101E+02	7.923E-01	1.109E+02	
2.250E-02	1.158E+02	7.558E-01	1.165E+02	
2.500E-02	1.210E+02	7.232E-01	1.217E+02	
2.750E-02	1.258E+02	6.938E-01	1.265E+02	
3.000E-02	1.304E+02	6.672E-01	1.310E+02	
3.500E-02	1.385E+02	6.208E-01	1.392E+02	
4.000E-02	1.457E+02	5.815E-01	1.463E+02	
4.500E-02	1.521E+02	5.478E-01	1.526E+02	
5.000E-02	1.577E+02	5.183E-01	1.582E+02	
5.500E-02	1.626E+02	4.924E-01	1.631E+02	
6.000E-02	1.669E+02	4.694E-01	1.674E+02	
6.500E-02	1.707E+02	4.487E-01	1.711E+02	
7.000E-02	1.739E+02	4.301E-01	1.743E+02	
7.500E-02	1.767E+02	4.132E-01	1.771E+02	
8.000E-02	1.790E+02	3.978E-01	1.794E+02	
8.500E-02	1.810E+02	3.836E-01	1.813E+02	
9.000E-02	1.825E+02	3.706E-01	1.829E+02	
9.500E-02	1.838E+02	3.585E-01	1.841E+02	
1.000E-01	1.847E+02	3.474E-01	1.850E+02	
1.250E-01	1.856E+02	3.016E-01	1.859E+02	
1.500E-01	1.821E+02	2.676E-01	1.824E+02	
1.750E-01	1.763E+02	2.413E-01	1.766E+02	
2.000E-01	1.694E+02	2.202E-01	1.696E+02	
2.250E-01	1.622E+02	2.028E-01	1.624E+02	
2.500E-01	1.552E+02	1.883E-01	1.554E+02	
