PSTAR: Stopping Powers and Range Tables for Protons

GERMANIUM                                                               

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	4.591E+01	3.642E+00	4.955E+01	
1.500E-03	5.623E+01	3.522E+00	5.975E+01	
2.000E-03	6.493E+01	3.390E+00	6.831E+01	
2.500E-03	7.259E+01	3.261E+00	7.585E+01	
3.000E-03	7.952E+01	3.140E+00	8.266E+01	
4.000E-03	9.182E+01	2.924E+00	9.474E+01	
5.000E-03	1.027E+02	2.740E+00	1.054E+02	
6.000E-03	1.125E+02	2.582E+00	1.150E+02	
7.000E-03	1.215E+02	2.444E+00	1.239E+02	
8.000E-03	1.299E+02	2.323E+00	1.322E+02	
9.000E-03	1.377E+02	2.216E+00	1.399E+02	
1.000E-02	1.452E+02	2.121E+00	1.473E+02	
1.250E-02	1.597E+02	1.920E+00	1.617E+02	
1.500E-02	1.723E+02	1.760E+00	1.741E+02	
1.750E-02	1.833E+02	1.630E+00	1.850E+02	
2.000E-02	1.931E+02	1.520E+00	1.946E+02	
2.250E-02	2.017E+02	1.426E+00	2.032E+02	
2.500E-02	2.094E+02	1.345E+00	2.108E+02	
2.750E-02	2.163E+02	1.274E+00	2.175E+02	
3.000E-02	2.223E+02	1.212E+00	2.235E+02	
3.500E-02	2.323E+02	1.105E+00	2.334E+02	
4.000E-02	2.400E+02	1.018E+00	2.410E+02	
4.500E-02	2.456E+02	9.459E-01	2.466E+02	
5.000E-02	2.496E+02	8.842E-01	2.505E+02	
5.500E-02	2.523E+02	8.310E-01	2.531E+02	
6.000E-02	2.539E+02	7.847E-01	2.546E+02	
6.500E-02	2.545E+02	7.438E-01	2.553E+02	
7.000E-02	2.545E+02	7.074E-01	2.552E+02	
7.500E-02	2.539E+02	6.749E-01	2.546E+02	
8.000E-02	2.529E+02	6.455E-01	2.535E+02	
8.500E-02	2.515E+02	6.189E-01	2.521E+02	
9.000E-02	2.500E+02	5.946E-01	2.505E+02	
9.500E-02	2.482E+02	5.724E-01	2.488E+02	
1.000E-01	2.464E+02	5.520E-01	2.469E+02	
1.250E-01	2.365E+02	4.701E-01	2.370E+02	
1.500E-01	2.272E+02	4.111E-01	2.276E+02	
1.750E-01	2.189E+02	3.664E-01	2.193E+02	
2.000E-01	2.116E+02	3.312E-01	2.120E+02	
2.250E-01	2.051E+02	3.027E-01	2.054E+02	
2.500E-01	1.993E+02	2.792E-01	1.996E+02	
