PSTAR: Stopping Powers and Range Tables for Protons

HYDROGEN                                                                

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	7.465E+02	2.264E+02	9.730E+02	
1.500E-03	9.143E+02	1.726E+02	1.087E+03	
2.000E-03	1.056E+03	1.411E+02	1.197E+03	
2.500E-03	1.180E+03	1.201E+02	1.300E+03	
3.000E-03	1.293E+03	1.050E+02	1.398E+03	
4.000E-03	1.493E+03	8.454E+01	1.578E+03	
5.000E-03	1.669E+03	7.122E+01	1.741E+03	
6.000E-03	1.829E+03	6.179E+01	1.890E+03	
7.000E-03	1.975E+03	5.472E+01	2.030E+03	
8.000E-03	2.112E+03	4.921E+01	2.161E+03	
9.000E-03	2.240E+03	4.479E+01	2.284E+03	
1.000E-02	2.361E+03	4.115E+01	2.402E+03	
1.250E-02	2.586E+03	3.434E+01	2.621E+03	
1.500E-02	2.777E+03	2.958E+01	2.807E+03	
1.750E-02	2.942E+03	2.605E+01	2.968E+03	
2.000E-02	3.084E+03	2.332E+01	3.107E+03	
2.250E-02	3.208E+03	2.114E+01	3.229E+03	
2.500E-02	3.316E+03	1.936E+01	3.335E+03	
2.750E-02	3.409E+03	1.787E+01	3.427E+03	
3.000E-02	3.490E+03	1.661E+01	3.506E+03	
3.500E-02	3.618E+03	1.458E+01	3.633E+03	
4.000E-02	3.710E+03	1.302E+01	3.723E+03	
4.500E-02	3.771E+03	1.178E+01	3.783E+03	
5.000E-02	3.808E+03	1.077E+01	3.818E+03	
5.500E-02	3.823E+03	9.923E+00	3.833E+03	
6.000E-02	3.822E+03	9.209E+00	3.831E+03	
6.500E-02	3.807E+03	8.596E+00	3.816E+03	
7.000E-02	3.781E+03	8.065E+00	3.789E+03	
7.500E-02	3.745E+03	7.599E+00	3.753E+03	
8.000E-02	3.702E+03	7.186E+00	3.710E+03	
8.500E-02	3.654E+03	6.819E+00	3.661E+03	
9.000E-02	3.601E+03	6.490E+00	3.608E+03	
9.500E-02	3.545E+03	6.192E+00	3.552E+03	
1.000E-01	3.487E+03	5.922E+00	3.493E+03	
1.250E-01	3.183E+03	4.876E+00	3.188E+03	
1.500E-01	2.890E+03	4.157E+00	2.895E+03	
1.750E-01	2.629E+03	3.631E+00	2.633E+03	
2.000E-01	2.402E+03	3.228E+00	2.406E+03	
2.250E-01	2.204E+03	2.909E+00	2.207E+03	
2.500E-01	2.031E+03	2.650E+00	2.034E+03	
