PSTAR: Stopping Powers and Range Tables for Protons

HELIUM                                                                  

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.842E+02	4.837E+01	2.326E+02	
1.500E-03	2.256E+02	3.761E+01	2.633E+02	
2.000E-03	2.606E+02	3.112E+01	2.917E+02	
2.500E-03	2.913E+02	2.672E+01	3.180E+02	
3.000E-03	3.191E+02	2.351E+01	3.426E+02	
4.000E-03	3.685E+02	1.911E+01	3.876E+02	
5.000E-03	4.120E+02	1.620E+01	4.282E+02	
6.000E-03	4.513E+02	1.412E+01	4.654E+02	
7.000E-03	4.874E+02	1.256E+01	5.000E+02	
8.000E-03	5.211E+02	1.133E+01	5.324E+02	
9.000E-03	5.527E+02	1.033E+01	5.630E+02	
1.000E-02	5.826E+02	9.515E+00	5.921E+02	
1.250E-02	6.413E+02	7.974E+00	6.492E+02	
1.500E-02	6.919E+02	6.891E+00	6.988E+02	
1.750E-02	7.367E+02	6.084E+00	7.427E+02	
2.000E-02	7.766E+02	5.458E+00	7.821E+02	
2.250E-02	8.125E+02	4.957E+00	8.175E+02	
2.500E-02	8.449E+02	4.546E+00	8.495E+02	
2.750E-02	8.742E+02	4.202E+00	8.784E+02	
3.000E-02	9.008E+02	3.910E+00	9.047E+02	
3.500E-02	9.466E+02	3.439E+00	9.500E+02	
4.000E-02	9.841E+02	3.076E+00	9.872E+02	
4.500E-02	1.014E+03	2.786E+00	1.017E+03	
5.000E-02	1.039E+03	2.550E+00	1.041E+03	
5.500E-02	1.058E+03	2.352E+00	1.060E+03	
6.000E-02	1.072E+03	2.185E+00	1.074E+03	
6.500E-02	1.083E+03	2.042E+00	1.085E+03	
7.000E-02	1.089E+03	1.917E+00	1.091E+03	
7.500E-02	1.093E+03	1.807E+00	1.095E+03	
8.000E-02	1.094E+03	1.710E+00	1.096E+03	
8.500E-02	1.093E+03	1.624E+00	1.095E+03	
9.000E-02	1.090E+03	1.546E+00	1.092E+03	
9.500E-02	1.085E+03	1.476E+00	1.087E+03	
1.000E-01	1.079E+03	1.412E+00	1.080E+03	
1.250E-01	1.032E+03	1.165E+00	1.033E+03	
1.500E-01	9.730E+02	9.949E-01	9.739E+02	
1.750E-01	9.112E+02	8.701E-01	9.121E+02	
2.000E-01	8.521E+02	7.740E-01	8.528E+02	
2.250E-01	7.975E+02	6.963E-01	7.982E+02	
2.500E-01	7.483E+02	6.332E-01	7.489E+02	
