PSTAR: Stopping Powers and Range Tables for Protons

NEON                                                                    

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	5.801E+01	1.623E+01	7.424E+01	
1.500E-03	7.105E+01	1.420E+01	8.525E+01	
2.000E-03	8.204E+01	1.270E+01	9.474E+01	
2.500E-03	9.173E+01	1.154E+01	1.033E+02	
3.000E-03	1.005E+02	1.060E+01	1.111E+02	
4.000E-03	1.160E+02	9.190E+00	1.252E+02	
5.000E-03	1.297E+02	8.158E+00	1.379E+02	
6.000E-03	1.421E+02	7.364E+00	1.495E+02	
7.000E-03	1.535E+02	6.730E+00	1.602E+02	
8.000E-03	1.641E+02	6.211E+00	1.703E+02	
9.000E-03	1.740E+02	5.776E+00	1.798E+02	
1.000E-02	1.835E+02	5.405E+00	1.889E+02	
1.250E-02	2.025E+02	4.678E+00	2.072E+02	
1.500E-02	2.193E+02	4.141E+00	2.235E+02	
1.750E-02	2.345E+02	3.727E+00	2.382E+02	
2.000E-02	2.483E+02	3.395E+00	2.517E+02	
2.250E-02	2.610E+02	3.123E+00	2.642E+02	
2.500E-02	2.728E+02	2.896E+00	2.757E+02	
2.750E-02	2.838E+02	2.703E+00	2.865E+02	
3.000E-02	2.940E+02	2.536E+00	2.966E+02	
3.500E-02	3.127E+02	2.263E+00	3.149E+02	
4.000E-02	3.292E+02	2.047E+00	3.312E+02	
4.500E-02	3.438E+02	1.872E+00	3.457E+02	
5.000E-02	3.569E+02	1.727E+00	3.587E+02	
5.500E-02	3.686E+02	1.605E+00	3.702E+02	
6.000E-02	3.790E+02	1.500E+00	3.805E+02	
6.500E-02	3.883E+02	1.410E+00	3.897E+02	
7.000E-02	3.965E+02	1.330E+00	3.979E+02	
7.500E-02	4.038E+02	1.260E+00	4.051E+02	
8.000E-02	4.102E+02	1.197E+00	4.114E+02	
8.500E-02	4.158E+02	1.141E+00	4.170E+02	
9.000E-02	4.207E+02	1.090E+00	4.218E+02	
9.500E-02	4.248E+02	1.044E+00	4.259E+02	
1.000E-01	4.284E+02	1.002E+00	4.294E+02	
1.250E-01	4.381E+02	8.371E-01	4.389E+02	
1.500E-01	4.379E+02	7.217E-01	4.386E+02	
1.750E-01	4.313E+02	6.360E-01	4.319E+02	
2.000E-01	4.208E+02	5.696E-01	4.214E+02	
2.250E-01	4.082E+02	5.166E-01	4.087E+02	
2.500E-01	3.946E+02	4.733E-01	3.950E+02	
