PSTAR: Stopping Powers and Range Tables for Protons

PLATINUM                                                                

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.377E+01	9.089E-01	1.468E+01	
1.500E-03	1.687E+01	9.287E-01	1.779E+01	
2.000E-03	1.947E+01	9.334E-01	2.041E+01	
2.500E-03	2.177E+01	9.312E-01	2.270E+01	
3.000E-03	2.385E+01	9.255E-01	2.478E+01	
4.000E-03	2.754E+01	9.087E-01	2.845E+01	
5.000E-03	3.079E+01	8.889E-01	3.168E+01	
6.000E-03	3.373E+01	8.682E-01	3.460E+01	
7.000E-03	3.643E+01	8.478E-01	3.728E+01	
8.000E-03	3.895E+01	8.278E-01	3.978E+01	
9.000E-03	4.131E+01	8.086E-01	4.212E+01	
1.000E-02	4.355E+01	7.903E-01	4.434E+01	
1.250E-02	4.811E+01	7.481E-01	4.886E+01	
1.500E-02	5.216E+01	7.107E-01	5.287E+01	
1.750E-02	5.583E+01	6.775E-01	5.651E+01	
2.000E-02	5.920E+01	6.479E-01	5.985E+01	
2.250E-02	6.232E+01	6.212E-01	6.294E+01	
2.500E-02	6.523E+01	5.971E-01	6.582E+01	
2.750E-02	6.795E+01	5.752E-01	6.852E+01	
3.000E-02	7.051E+01	5.552E-01	7.107E+01	
3.500E-02	7.522E+01	5.199E-01	7.574E+01	
4.000E-02	7.946E+01	4.896E-01	7.995E+01	
4.500E-02	8.330E+01	4.633E-01	8.377E+01	
5.000E-02	8.679E+01	4.402E-01	8.723E+01	
5.500E-02	8.997E+01	4.197E-01	9.039E+01	
6.000E-02	9.287E+01	4.013E-01	9.327E+01	
6.500E-02	9.551E+01	3.848E-01	9.590E+01	
7.000E-02	9.792E+01	3.698E-01	9.829E+01	
7.500E-02	1.001E+02	3.561E-01	1.005E+02	
8.000E-02	1.021E+02	3.436E-01	1.024E+02	
8.500E-02	1.039E+02	3.320E-01	1.042E+02	
9.000E-02	1.055E+02	3.213E-01	1.058E+02	
9.500E-02	1.070E+02	3.114E-01	1.073E+02	
1.000E-01	1.083E+02	3.022E-01	1.086E+02	
1.250E-01	1.127E+02	2.642E-01	1.130E+02	
1.500E-01	1.145E+02	2.357E-01	1.148E+02	
1.750E-01	1.144E+02	2.134E-01	1.146E+02	
2.000E-01	1.130E+02	1.954E-01	1.132E+02	
2.250E-01	1.108E+02	1.805E-01	1.110E+02	
2.500E-01	1.081E+02	1.679E-01	1.083E+02	
