PSTAR: Stopping Powers and Range Tables for Protons

URANIUM                                                                 

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.838E+01	6.695E-01	1.905E+01	
1.500E-03	2.251E+01	6.904E-01	2.320E+01	
2.000E-03	2.599E+01	6.984E-01	2.669E+01	
2.500E-03	2.906E+01	7.005E-01	2.976E+01	
3.000E-03	3.183E+01	6.995E-01	3.253E+01	
4.000E-03	3.675E+01	6.922E-01	3.745E+01	
5.000E-03	4.109E+01	6.817E-01	4.177E+01	
6.000E-03	4.501E+01	6.699E-01	4.568E+01	
7.000E-03	4.862E+01	6.575E-01	4.928E+01	
8.000E-03	5.198E+01	6.451E-01	5.262E+01	
9.000E-03	5.513E+01	6.328E-01	5.576E+01	
1.000E-02	5.811E+01	6.208E-01	5.873E+01	
1.250E-02	6.419E+01	5.926E-01	6.479E+01	
1.500E-02	6.957E+01	5.669E-01	7.014E+01	
1.750E-02	7.444E+01	5.436E-01	7.499E+01	
2.000E-02	7.890E+01	5.224E-01	7.942E+01	
2.250E-02	8.302E+01	5.032E-01	8.352E+01	
2.500E-02	8.684E+01	4.856E-01	8.733E+01	
2.750E-02	9.042E+01	4.694E-01	9.089E+01	
3.000E-02	9.378E+01	4.545E-01	9.423E+01	
3.500E-02	9.992E+01	4.279E-01	1.003E+02	
4.000E-02	1.054E+02	4.049E-01	1.058E+02	
4.500E-02	1.103E+02	3.847E-01	1.107E+02	
5.000E-02	1.148E+02	3.668E-01	1.151E+02	
5.500E-02	1.188E+02	3.508E-01	1.191E+02	
6.000E-02	1.224E+02	3.364E-01	1.227E+02	
6.500E-02	1.257E+02	3.234E-01	1.260E+02	
7.000E-02	1.286E+02	3.115E-01	1.289E+02	
7.500E-02	1.312E+02	3.006E-01	1.315E+02	
8.000E-02	1.335E+02	2.906E-01	1.338E+02	
8.500E-02	1.356E+02	2.813E-01	1.359E+02	
9.000E-02	1.374E+02	2.727E-01	1.377E+02	
9.500E-02	1.390E+02	2.647E-01	1.393E+02	
1.000E-01	1.404E+02	2.573E-01	1.406E+02	
1.250E-01	1.444E+02	2.263E-01	1.446E+02	
1.500E-01	1.448E+02	2.028E-01	1.450E+02	
1.750E-01	1.427E+02	1.843E-01	1.429E+02	
2.000E-01	1.391E+02	1.693E-01	1.393E+02	
2.250E-01	1.345E+02	1.568E-01	1.347E+02	
2.500E-01	1.296E+02	1.462E-01	1.297E+02	
