PSTAR: Stopping Powers and Range Tables for Protons

XENON                                                                   

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	3.810E+01	1.604E+00	3.971E+01	
1.500E-03	4.667E+01	1.606E+00	4.827E+01	
2.000E-03	5.388E+01	1.588E+00	5.547E+01	
2.500E-03	6.024E+01	1.564E+00	6.181E+01	
3.000E-03	6.599E+01	1.536E+00	6.753E+01	
4.000E-03	7.620E+01	1.478E+00	7.768E+01	
5.000E-03	8.520E+01	1.422E+00	8.662E+01	
6.000E-03	9.333E+01	1.369E+00	9.470E+01	
7.000E-03	1.008E+02	1.320E+00	1.021E+02	
8.000E-03	1.078E+02	1.275E+00	1.090E+02	
9.000E-03	1.143E+02	1.233E+00	1.155E+02	
1.000E-02	1.205E+02	1.195E+00	1.217E+02	
1.250E-02	1.328E+02	1.110E+00	1.339E+02	
1.500E-02	1.436E+02	1.038E+00	1.446E+02	
1.750E-02	1.532E+02	9.772E-01	1.541E+02	
2.000E-02	1.618E+02	9.243E-01	1.627E+02	
2.250E-02	1.696E+02	8.780E-01	1.705E+02	
2.500E-02	1.767E+02	8.370E-01	1.775E+02	
2.750E-02	1.832E+02	8.003E-01	1.840E+02	
3.000E-02	1.891E+02	7.673E-01	1.899E+02	
3.500E-02	1.994E+02	7.102E-01	2.001E+02	
4.000E-02	2.080E+02	6.624E-01	2.087E+02	
4.500E-02	2.150E+02	6.216E-01	2.156E+02	
5.000E-02	2.207E+02	5.862E-01	2.213E+02	
5.500E-02	2.252E+02	5.553E-01	2.258E+02	
6.000E-02	2.287E+02	5.280E-01	2.292E+02	
6.500E-02	2.312E+02	5.036E-01	2.317E+02	
7.000E-02	2.329E+02	4.816E-01	2.334E+02	
7.500E-02	2.339E+02	4.618E-01	2.344E+02	
8.000E-02	2.343E+02	4.438E-01	2.347E+02	
8.500E-02	2.341E+02	4.273E-01	2.345E+02	
9.000E-02	2.335E+02	4.122E-01	2.339E+02	
9.500E-02	2.325E+02	3.982E-01	2.329E+02	
1.000E-01	2.311E+02	3.853E-01	2.315E+02	
1.250E-01	2.213E+02	3.327E-01	2.216E+02	
1.500E-01	2.093E+02	2.941E-01	2.096E+02	
1.750E-01	1.974E+02	2.643E-01	1.976E+02	
2.000E-01	1.865E+02	2.405E-01	1.868E+02	
2.250E-01	1.770E+02	2.210E-01	1.772E+02	
2.500E-01	1.686E+02	2.048E-01	1.688E+02	
