ESTAR: Stopping Powers and Range Tables for Electrons

GOLD                                                                     

Kinetic  	Collision	Radiative	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-02	8.673E+00	2.036E-02	8.694E+00	
1.250E-02	7.562E+00	2.237E-02	7.585E+00	
1.500E-02	6.739E+00	2.402E-02	6.763E+00	
1.750E-02	6.103E+00	2.543E-02	6.128E+00	
2.000E-02	5.595E+00	2.666E-02	5.621E+00	
2.500E-02	4.832E+00	2.872E-02	4.861E+00	
3.000E-02	4.284E+00	3.043E-02	4.315E+00	
3.500E-02	3.870E+00	3.190E-02	3.902E+00	
4.000E-02	3.545E+00	3.321E-02	3.579E+00	
4.500E-02	3.283E+00	3.439E-02	3.318E+00	
5.000E-02	3.067E+00	3.547E-02	3.102E+00	
5.500E-02	2.885E+00	3.647E-02	2.922E+00	
6.000E-02	2.730E+00	3.741E-02	2.768E+00	
7.000E-02	2.480E+00	3.914E-02	2.519E+00	
8.000E-02	2.286E+00	4.070E-02	2.327E+00	
9.000E-02	2.132E+00	4.214E-02	2.174E+00	
1.000E-01	2.006E+00	4.348E-02	2.049E+00	
1.250E-01	1.773E+00	4.651E-02	1.819E+00	
1.500E-01	1.614E+00	4.920E-02	1.663E+00	
1.750E-01	1.499E+00	5.164E-02	1.550E+00	
2.000E-01	1.412E+00	5.395E-02	1.466E+00	
2.500E-01	1.291E+00	5.833E-02	1.349E+00	
3.000E-01	1.212E+00	6.256E-02	1.274E+00	
3.500E-01	1.157E+00	6.677E-02	1.224E+00	
4.000E-01	1.118E+00	7.099E-02	1.189E+00	
4.500E-01	1.089E+00	7.524E-02	1.164E+00	
5.000E-01	1.067E+00	7.954E-02	1.147E+00	
5.500E-01	1.051E+00	8.389E-02	1.135E+00	
6.000E-01	1.038E+00	8.828E-02	1.127E+00	
7.000E-01	1.021E+00	9.720E-02	1.119E+00	
8.000E-01	1.011E+00	1.063E-01	1.118E+00	
9.000E-01	1.006E+00	1.155E-01	1.122E+00	
1.000E+00	1.004E+00	1.250E-01	1.129E+00	
1.250E+00	1.005E+00	1.491E-01	1.154E+00	
1.500E+00	1.011E+00	1.741E-01	1.186E+00	
1.750E+00	1.020E+00	1.998E-01	1.220E+00	
2.000E+00	1.029E+00	2.260E-01	1.255E+00	
2.500E+00	1.048E+00	2.799E-01	1.327E+00	
3.000E+00	1.065E+00	3.352E-01	1.400E+00	
3.500E+00	1.080E+00	3.917E-01	1.472E+00	
4.000E+00	1.095E+00	4.492E-01	1.544E+00	
4.500E+00	1.107E+00	5.077E-01	1.615E+00	
5.000E+00	1.119E+00	5.668E-01	1.686E+00	
5.500E+00	1.130E+00	6.267E-01	1.756E+00	
6.000E+00	1.139E+00	6.872E-01	1.827E+00	
7.000E+00	1.157E+00	8.098E-01	1.967E+00	
8.000E+00	1.172E+00	9.343E-01	2.106E+00	
9.000E+00	1.185E+00	1.061E+00	2.245E+00	
1.000E+01	1.196E+00	1.188E+00	2.385E+00	
1.250E+01	1.221E+00	1.513E+00	2.733E+00	
1.500E+01	1.240E+00	1.843E+00	3.083E+00	
1.750E+01	1.256E+00	2.179E+00	3.435E+00	
2.000E+01	1.270E+00	2.518E+00	3.788E+00	
2.500E+01	1.292E+00	3.207E+00	4.500E+00	
3.000E+01	1.310E+00	3.907E+00	5.217E+00	
3.500E+01	1.325E+00	4.615E+00	5.939E+00	
4.000E+01	1.337E+00	5.329E+00	6.666E+00	
4.500E+01	1.347E+00	6.049E+00	7.396E+00	
5.000E+01	1.356E+00	6.772E+00	8.129E+00	
5.500E+01	1.365E+00	7.500E+00	8.865E+00	
6.000E+01	1.372E+00	8.232E+00	9.604E+00	
7.000E+01	1.385E+00	9.702E+00	1.109E+01	
8.000E+01	1.395E+00	1.118E+01	1.258E+01	
9.000E+01	1.405E+00	1.267E+01	1.407E+01	
1.000E+02	1.413E+00	1.416E+01	1.557E+01	
1.250E+02	1.430E+00	1.791E+01	1.934E+01	
1.500E+02	1.443E+00	2.168E+01	2.312E+01	
1.750E+02	1.455E+00	2.546E+01	2.692E+01	
2.000E+02	1.464E+00	2.925E+01	3.072E+01	
2.500E+02	1.480E+00	3.685E+01	3.833E+01	
3.000E+02	1.492E+00	4.447E+01	4.596E+01	
3.500E+02	1.503E+00	5.210E+01	5.360E+01	
4.000E+02	1.511E+00	5.974E+01	6.125E+01	
4.500E+02	1.519E+00	6.739E+01	6.891E+01	
5.000E+02	1.526E+00	7.504E+01	7.656E+01	
5.500E+02	1.532E+00	8.270E+01	8.423E+01	
6.000E+02	1.538E+00	9.036E+01	9.190E+01	
7.000E+02	1.548E+00	1.057E+02	1.072E+02	
8.000E+02	1.557E+00	1.210E+02	1.226E+02	
9.000E+02	1.564E+00	1.364E+02	1.380E+02	
1.000E+03	1.571E+00	1.518E+02	1.533E+02	
