PSTAR: Stopping Powers and Range Tables for Protons

GOLD                                                                    

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.476E+01	8.981E-01	1.565E+01	
1.500E-03	1.807E+01	9.183E-01	1.899E+01	
2.000E-03	2.087E+01	9.234E-01	2.179E+01	
2.500E-03	2.333E+01	9.217E-01	2.425E+01	
3.000E-03	2.556E+01	9.163E-01	2.648E+01	
4.000E-03	2.951E+01	9.002E-01	3.041E+01	
5.000E-03	3.300E+01	8.811E-01	3.388E+01	
6.000E-03	3.615E+01	8.611E-01	3.701E+01	
7.000E-03	3.904E+01	8.411E-01	3.988E+01	
8.000E-03	4.174E+01	8.216E-01	4.256E+01	
9.000E-03	4.427E+01	8.029E-01	4.507E+01	
1.000E-02	4.666E+01	7.849E-01	4.745E+01	
1.250E-02	5.151E+01	7.434E-01	5.226E+01	
1.500E-02	5.580E+01	7.067E-01	5.650E+01	
1.750E-02	5.966E+01	6.740E-01	6.033E+01	
2.000E-02	6.318E+01	6.447E-01	6.383E+01	
2.250E-02	6.643E+01	6.184E-01	6.705E+01	
2.500E-02	6.943E+01	5.946E-01	7.003E+01	
2.750E-02	7.223E+01	5.730E-01	7.280E+01	
3.000E-02	7.484E+01	5.532E-01	7.539E+01	
3.500E-02	7.958E+01	5.182E-01	8.010E+01	
4.000E-02	8.377E+01	4.882E-01	8.426E+01	
4.500E-02	8.750E+01	4.621E-01	8.796E+01	
5.000E-02	9.081E+01	4.392E-01	9.125E+01	
5.500E-02	9.377E+01	4.188E-01	9.419E+01	
6.000E-02	9.640E+01	4.006E-01	9.680E+01	
6.500E-02	9.874E+01	3.841E-01	9.912E+01	
7.000E-02	1.008E+02	3.692E-01	1.012E+02	
7.500E-02	1.026E+02	3.556E-01	1.030E+02	
8.000E-02	1.043E+02	3.431E-01	1.046E+02	
8.500E-02	1.057E+02	3.316E-01	1.060E+02	
9.000E-02	1.069E+02	3.210E-01	1.072E+02	
9.500E-02	1.080E+02	3.112E-01	1.083E+02	
1.000E-01	1.089E+02	3.020E-01	1.092E+02	
1.250E-01	1.115E+02	2.641E-01	1.118E+02	
1.500E-01	1.120E+02	2.357E-01	1.122E+02	
1.750E-01	1.112E+02	2.134E-01	1.114E+02	
2.000E-01	1.096E+02	1.955E-01	1.098E+02	
2.250E-01	1.076E+02	1.806E-01	1.078E+02	
2.500E-01	1.054E+02	1.681E-01	1.056E+02	
