PSTAR: Stopping Powers and Range Tables for Protons

BERYLLIUM                                                               

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.497E+02	2.641E+01	1.761E+02	
1.500E-03	1.833E+02	2.143E+01	2.047E+02	
2.000E-03	2.117E+02	1.822E+01	2.299E+02	
2.500E-03	2.367E+02	1.595E+01	2.526E+02	
3.000E-03	2.592E+02	1.425E+01	2.735E+02	
4.000E-03	2.993E+02	1.183E+01	3.112E+02	
5.000E-03	3.347E+02	1.018E+01	3.449E+02	
6.000E-03	3.666E+02	8.972E+00	3.756E+02	
7.000E-03	3.960E+02	8.047E+00	4.040E+02	
8.000E-03	4.233E+02	7.311E+00	4.306E+02	
9.000E-03	4.490E+02	6.710E+00	4.557E+02	
1.000E-02	4.733E+02	6.210E+00	4.795E+02	
1.250E-02	5.172E+02	5.256E+00	5.224E+02	
1.500E-02	5.534E+02	4.576E+00	5.579E+02	
1.750E-02	5.836E+02	4.064E+00	5.876E+02	
2.000E-02	6.087E+02	3.664E+00	6.124E+02	
2.250E-02	6.296E+02	3.340E+00	6.330E+02	
2.500E-02	6.468E+02	3.074E+00	6.499E+02	
2.750E-02	6.607E+02	2.850E+00	6.636E+02	
3.000E-02	6.719E+02	2.659E+00	6.746E+02	
3.500E-02	6.873E+02	2.349E+00	6.896E+02	
4.000E-02	6.955E+02	2.109E+00	6.976E+02	
4.500E-02	6.984E+02	1.916E+00	7.003E+02	
5.000E-02	6.976E+02	1.758E+00	6.994E+02	
5.500E-02	6.942E+02	1.625E+00	6.959E+02	
6.000E-02	6.891E+02	1.513E+00	6.906E+02	
6.500E-02	6.828E+02	1.416E+00	6.842E+02	
7.000E-02	6.757E+02	1.331E+00	6.770E+02	
7.500E-02	6.682E+02	1.257E+00	6.694E+02	
8.000E-02	6.605E+02	1.191E+00	6.617E+02	
8.500E-02	6.527E+02	1.133E+00	6.538E+02	
9.000E-02	6.449E+02	1.080E+00	6.460E+02	
9.500E-02	6.372E+02	1.032E+00	6.382E+02	
1.000E-01	6.296E+02	9.882E-01	6.306E+02	
1.250E-01	5.942E+02	8.186E-01	5.951E+02	
1.500E-01	5.630E+02	7.012E-01	5.637E+02	
1.750E-01	5.354E+02	6.148E-01	5.360E+02	
2.000E-01	5.107E+02	5.484E-01	5.113E+02	
2.250E-01	4.884E+02	4.956E-01	4.889E+02	
2.500E-01	4.682E+02	4.526E-01	4.687E+02	
