PSTAR: Stopping Powers and Range Tables for Protons

COPPER                                                                  

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	3.490E+01	4.408E+00	3.931E+01	
1.500E-03	4.274E+01	4.231E+00	4.697E+01	
2.000E-03	4.935E+01	4.049E+00	5.340E+01	
2.500E-03	5.518E+01	3.876E+00	5.906E+01	
3.000E-03	6.045E+01	3.718E+00	6.416E+01	
4.000E-03	6.980E+01	3.440E+00	7.324E+01	
5.000E-03	7.804E+01	3.207E+00	8.124E+01	
6.000E-03	8.548E+01	3.010E+00	8.849E+01	
7.000E-03	9.233E+01	2.840E+00	9.517E+01	
8.000E-03	9.871E+01	2.692E+00	1.014E+02	
9.000E-03	1.047E+02	2.561E+00	1.073E+02	
1.000E-02	1.104E+02	2.445E+00	1.128E+02	
1.250E-02	1.214E+02	2.204E+00	1.236E+02	
1.500E-02	1.309E+02	2.014E+00	1.329E+02	
1.750E-02	1.392E+02	1.859E+00	1.411E+02	
2.000E-02	1.466E+02	1.729E+00	1.484E+02	
2.250E-02	1.532E+02	1.620E+00	1.548E+02	
2.500E-02	1.590E+02	1.525E+00	1.606E+02	
2.750E-02	1.643E+02	1.442E+00	1.657E+02	
3.000E-02	1.689E+02	1.369E+00	1.703E+02	
3.500E-02	1.769E+02	1.246E+00	1.781E+02	
4.000E-02	1.832E+02	1.146E+00	1.844E+02	
4.500E-02	1.884E+02	1.062E+00	1.894E+02	
5.000E-02	1.925E+02	9.917E-01	1.935E+02	
5.500E-02	1.959E+02	9.309E-01	1.968E+02	
6.000E-02	1.987E+02	8.779E-01	1.996E+02	
6.500E-02	2.010E+02	8.314E-01	2.018E+02	
7.000E-02	2.028E+02	7.900E-01	2.036E+02	
7.500E-02	2.044E+02	7.531E-01	2.051E+02	
8.000E-02	2.056E+02	7.198E-01	2.063E+02	
8.500E-02	2.067E+02	6.896E-01	2.073E+02	
9.000E-02	2.075E+02	6.622E-01	2.082E+02	
9.500E-02	2.082E+02	6.371E-01	2.088E+02	
1.000E-01	2.087E+02	6.140E-01	2.093E+02	
1.250E-01	2.099E+02	5.217E-01	2.104E+02	
1.500E-01	2.092E+02	4.556E-01	2.097E+02	
1.750E-01	2.075E+02	4.055E-01	2.079E+02	
2.000E-01	2.051E+02	3.662E-01	2.055E+02	
2.250E-01	2.023E+02	3.344E-01	2.026E+02	
2.500E-01	1.991E+02	3.081E-01	1.994E+02	
