PSTAR: Stopping Powers and Range Tables for Protons

KRYPTON                                                                 

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	4.592E+01	2.984E+00	4.890E+01	
1.500E-03	5.624E+01	2.910E+00	5.915E+01	
2.000E-03	6.494E+01	2.820E+00	6.776E+01	
2.500E-03	7.260E+01	2.728E+00	7.533E+01	
3.000E-03	7.953E+01	2.639E+00	8.217E+01	
4.000E-03	9.184E+01	2.477E+00	9.431E+01	
5.000E-03	1.027E+02	2.335E+00	1.050E+02	
6.000E-03	1.125E+02	2.210E+00	1.147E+02	
7.000E-03	1.215E+02	2.101E+00	1.236E+02	
8.000E-03	1.299E+02	2.004E+00	1.319E+02	
9.000E-03	1.378E+02	1.918E+00	1.397E+02	
1.000E-02	1.452E+02	1.840E+00	1.470E+02	
1.250E-02	1.601E+02	1.675E+00	1.618E+02	
1.500E-02	1.732E+02	1.543E+00	1.748E+02	
1.750E-02	1.849E+02	1.433E+00	1.864E+02	
2.000E-02	1.955E+02	1.341E+00	1.968E+02	
2.250E-02	2.051E+02	1.261E+00	2.063E+02	
2.500E-02	2.138E+02	1.192E+00	2.150E+02	
2.750E-02	2.218E+02	1.132E+00	2.229E+02	
3.000E-02	2.291E+02	1.078E+00	2.302E+02	
3.500E-02	2.420E+02	9.863E-01	2.430E+02	
4.000E-02	2.527E+02	9.111E-01	2.536E+02	
4.500E-02	2.616E+02	8.480E-01	2.625E+02	
5.000E-02	2.688E+02	7.941E-01	2.696E+02	
5.500E-02	2.746E+02	7.476E-01	2.753E+02	
6.000E-02	2.790E+02	7.069E-01	2.797E+02	
6.500E-02	2.823E+02	6.709E-01	2.829E+02	
7.000E-02	2.845E+02	6.388E-01	2.851E+02	
7.500E-02	2.858E+02	6.101E-01	2.864E+02	
8.000E-02	2.862E+02	5.841E-01	2.868E+02	
8.500E-02	2.860E+02	5.605E-01	2.865E+02	
9.000E-02	2.851E+02	5.389E-01	2.857E+02	
9.500E-02	2.838E+02	5.192E-01	2.843E+02	
1.000E-01	2.819E+02	5.010E-01	2.824E+02	
1.250E-01	2.686E+02	4.278E-01	2.690E+02	
1.500E-01	2.522E+02	3.749E-01	2.526E+02	
1.750E-01	2.362E+02	3.347E-01	2.365E+02	
2.000E-01	2.217E+02	3.030E-01	2.220E+02	
2.250E-01	2.090E+02	2.773E-01	2.093E+02	
2.500E-01	1.982E+02	2.559E-01	1.984E+02	
