PSTAR: Stopping Powers and Range Tables for Protons

MOLYBDENUM                                                              

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	4.018E+01	2.539E+00	4.272E+01	
1.500E-03	4.921E+01	2.502E+00	5.171E+01	
2.000E-03	5.682E+01	2.445E+00	5.926E+01	
2.500E-03	6.353E+01	2.382E+00	6.591E+01	
3.000E-03	6.959E+01	2.318E+00	7.191E+01	
4.000E-03	8.035E+01	2.197E+00	8.255E+01	
5.000E-03	8.984E+01	2.087E+00	9.193E+01	
6.000E-03	9.841E+01	1.989E+00	1.004E+02	
7.000E-03	1.063E+02	1.901E+00	1.082E+02	
8.000E-03	1.136E+02	1.822E+00	1.155E+02	
9.000E-03	1.205E+02	1.750E+00	1.223E+02	
1.000E-02	1.270E+02	1.685E+00	1.287E+02	
1.250E-02	1.402E+02	1.546E+00	1.417E+02	
1.500E-02	1.517E+02	1.432E+00	1.532E+02	
1.750E-02	1.621E+02	1.337E+00	1.634E+02	
2.000E-02	1.715E+02	1.256E+00	1.728E+02	
2.250E-02	1.801E+02	1.186E+00	1.813E+02	
2.500E-02	1.880E+02	1.124E+00	1.892E+02	
2.750E-02	1.954E+02	1.070E+00	1.964E+02	
3.000E-02	2.021E+02	1.021E+00	2.032E+02	
3.500E-02	2.143E+02	9.386E-01	2.152E+02	
4.000E-02	2.248E+02	8.701E-01	2.256E+02	
4.500E-02	2.338E+02	8.122E-01	2.346E+02	
5.000E-02	2.416E+02	7.626E-01	2.424E+02	
5.500E-02	2.483E+02	7.195E-01	2.490E+02	
6.000E-02	2.539E+02	6.817E-01	2.546E+02	
6.500E-02	2.587E+02	6.481E-01	2.593E+02	
7.000E-02	2.626E+02	6.182E-01	2.632E+02	
7.500E-02	2.657E+02	5.912E-01	2.663E+02	
8.000E-02	2.682E+02	5.668E-01	2.688E+02	
8.500E-02	2.700E+02	5.445E-01	2.706E+02	
9.000E-02	2.713E+02	5.242E-01	2.718E+02	
9.500E-02	2.721E+02	5.055E-01	2.726E+02	
1.000E-01	2.724E+02	4.882E-01	2.729E+02	
1.250E-01	2.687E+02	4.186E-01	2.691E+02	
1.500E-01	2.595E+02	3.679E-01	2.599E+02	
1.750E-01	2.480E+02	3.293E-01	2.483E+02	
2.000E-01	2.358E+02	2.986E-01	2.361E+02	
2.250E-01	2.240E+02	2.737E-01	2.243E+02	
2.500E-01	2.131E+02	2.529E-01	2.133E+02	
