PSTAR: Stopping Powers and Range Tables for Protons

NITROGEN                                                                

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.265E+02	2.235E+01	1.489E+02	
1.500E-03	1.550E+02	1.895E+01	1.739E+02	
2.000E-03	1.790E+02	1.660E+01	1.956E+02	
2.500E-03	2.001E+02	1.485E+01	2.149E+02	
3.000E-03	2.192E+02	1.348E+01	2.327E+02	
4.000E-03	2.531E+02	1.147E+01	2.646E+02	
5.000E-03	2.830E+02	1.005E+01	2.930E+02	
6.000E-03	3.100E+02	8.975E+00	3.189E+02	
7.000E-03	3.348E+02	8.135E+00	3.429E+02	
8.000E-03	3.579E+02	7.456E+00	3.654E+02	
9.000E-03	3.796E+02	6.893E+00	3.865E+02	
1.000E-02	4.002E+02	6.419E+00	4.066E+02	
1.250E-02	4.406E+02	5.500E+00	4.461E+02	
1.500E-02	4.758E+02	4.833E+00	4.806E+02	
1.750E-02	5.070E+02	4.323E+00	5.113E+02	
2.000E-02	5.350E+02	3.920E+00	5.389E+02	
2.250E-02	5.602E+02	3.591E+00	5.638E+02	
2.500E-02	5.831E+02	3.319E+00	5.864E+02	
2.750E-02	6.038E+02	3.088E+00	6.069E+02	
3.000E-02	6.227E+02	2.890E+00	6.256E+02	
3.500E-02	6.555E+02	2.567E+00	6.581E+02	
4.000E-02	6.827E+02	2.314E+00	6.850E+02	
4.500E-02	7.049E+02	2.110E+00	7.070E+02	
5.000E-02	7.229E+02	1.942E+00	7.249E+02	
5.500E-02	7.373E+02	1.800E+00	7.391E+02	
6.000E-02	7.484E+02	1.680E+00	7.500E+02	
6.500E-02	7.566E+02	1.575E+00	7.582E+02	
7.000E-02	7.623E+02	1.484E+00	7.638E+02	
7.500E-02	7.659E+02	1.404E+00	7.673E+02	
8.000E-02	7.675E+02	1.332E+00	7.689E+02	
8.500E-02	7.675E+02	1.268E+00	7.688E+02	
9.000E-02	7.660E+02	1.211E+00	7.672E+02	
9.500E-02	7.633E+02	1.158E+00	7.644E+02	
1.000E-01	7.594E+02	1.111E+00	7.606E+02	
1.250E-01	7.293E+02	9.245E-01	7.302E+02	
1.500E-01	6.898E+02	7.948E-01	6.906E+02	
1.750E-01	6.486E+02	6.988E-01	6.493E+02	
2.000E-01	6.091E+02	6.248E-01	6.097E+02	
2.250E-01	5.729E+02	5.658E-01	5.735E+02	
2.500E-01	5.404E+02	5.176E-01	5.409E+02	
