PSTAR: Stopping Powers and Range Tables for Protons

OXYGEN                                                                  

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	9.946E+01	2.006E+01	1.195E+02	
1.500E-03	1.218E+02	1.721E+01	1.390E+02	
2.000E-03	1.407E+02	1.519E+01	1.558E+02	
2.500E-03	1.573E+02	1.366E+01	1.709E+02	
3.000E-03	1.723E+02	1.246E+01	1.847E+02	
4.000E-03	1.989E+02	1.067E+01	2.096E+02	
5.000E-03	2.224E+02	9.393E+00	2.318E+02	
6.000E-03	2.436E+02	8.423E+00	2.520E+02	
7.000E-03	2.631E+02	7.657E+00	2.708E+02	
8.000E-03	2.813E+02	7.035E+00	2.883E+02	
9.000E-03	2.984E+02	6.517E+00	3.049E+02	
1.000E-02	3.145E+02	6.079E+00	3.206E+02	
1.250E-02	3.466E+02	5.228E+00	3.518E+02	
1.500E-02	3.747E+02	4.606E+00	3.793E+02	
1.750E-02	3.998E+02	4.128E+00	4.039E+02	
2.000E-02	4.224E+02	3.750E+00	4.262E+02	
2.250E-02	4.430E+02	3.440E+00	4.465E+02	
2.500E-02	4.619E+02	3.183E+00	4.650E+02	
2.750E-02	4.791E+02	2.965E+00	4.821E+02	
3.000E-02	4.950E+02	2.777E+00	4.978E+02	
3.500E-02	5.231E+02	2.470E+00	5.255E+02	
4.000E-02	5.470E+02	2.230E+00	5.492E+02	
4.500E-02	5.672E+02	2.036E+00	5.693E+02	
5.000E-02	5.844E+02	1.875E+00	5.862E+02	
5.500E-02	5.987E+02	1.740E+00	6.004E+02	
6.000E-02	6.106E+02	1.624E+00	6.122E+02	
6.500E-02	6.202E+02	1.524E+00	6.218E+02	
7.000E-02	6.280E+02	1.437E+00	6.294E+02	
7.500E-02	6.339E+02	1.360E+00	6.353E+02	
8.000E-02	6.383E+02	1.291E+00	6.396E+02	
8.500E-02	6.413E+02	1.229E+00	6.425E+02	
9.000E-02	6.430E+02	1.174E+00	6.442E+02	
9.500E-02	6.436E+02	1.124E+00	6.448E+02	
1.000E-01	6.433E+02	1.078E+00	6.444E+02	
1.250E-01	6.305E+02	8.982E-01	6.314E+02	
1.500E-01	6.067E+02	7.729E-01	6.074E+02	
1.750E-01	5.783E+02	6.802E-01	5.790E+02	
2.000E-01	5.491E+02	6.085E-01	5.497E+02	
2.250E-01	5.209E+02	5.514E-01	5.214E+02	
2.500E-01	4.946E+02	5.046E-01	4.951E+02	
