PSTAR: Stopping Powers and Range Tables for Protons

LEAD                                                                    

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.540E+01	8.290E-01	1.623E+01	
1.500E-03	1.886E+01	8.494E-01	1.971E+01	
2.000E-03	2.178E+01	8.554E-01	2.264E+01	
2.500E-03	2.435E+01	8.548E-01	2.521E+01	
3.000E-03	2.668E+01	8.508E-01	2.753E+01	
4.000E-03	3.081E+01	8.374E-01	3.164E+01	
5.000E-03	3.444E+01	8.208E-01	3.526E+01	
6.000E-03	3.773E+01	8.033E-01	3.853E+01	
7.000E-03	4.075E+01	7.856E-01	4.154E+01	
8.000E-03	4.357E+01	7.682E-01	4.433E+01	
9.000E-03	4.621E+01	7.514E-01	4.696E+01	
1.000E-02	4.871E+01	7.352E-01	4.944E+01	
1.250E-02	5.382E+01	6.977E-01	5.451E+01	
1.500E-02	5.834E+01	6.643E-01	5.901E+01	
1.750E-02	6.245E+01	6.344E-01	6.308E+01	
2.000E-02	6.621E+01	6.075E-01	6.682E+01	
2.250E-02	6.970E+01	5.833E-01	7.028E+01	
2.500E-02	7.294E+01	5.614E-01	7.350E+01	
2.750E-02	7.598E+01	5.413E-01	7.653E+01	
3.000E-02	7.885E+01	5.230E-01	7.937E+01	
3.500E-02	8.411E+01	4.905E-01	8.460E+01	
4.000E-02	8.884E+01	4.626E-01	8.930E+01	
4.500E-02	9.313E+01	4.383E-01	9.356E+01	
5.000E-02	9.702E+01	4.169E-01	9.744E+01	
5.500E-02	1.006E+02	3.978E-01	1.010E+02	
6.000E-02	1.038E+02	3.807E-01	1.042E+02	
6.500E-02	1.068E+02	3.653E-01	1.071E+02	
7.000E-02	1.095E+02	3.513E-01	1.098E+02	
7.500E-02	1.119E+02	3.385E-01	1.122E+02	
8.000E-02	1.141E+02	3.268E-01	1.145E+02	
8.500E-02	1.162E+02	3.160E-01	1.165E+02	
9.000E-02	1.180E+02	3.060E-01	1.183E+02	
9.500E-02	1.196E+02	2.967E-01	1.199E+02	
1.000E-01	1.211E+02	2.880E-01	1.214E+02	
1.250E-01	1.261E+02	2.522E-01	1.264E+02	
1.500E-01	1.281E+02	2.253E-01	1.283E+02	
1.750E-01	1.279E+02	2.042E-01	1.281E+02	
2.000E-01	1.263E+02	1.872E-01	1.265E+02	
2.250E-01	1.236E+02	1.730E-01	1.238E+02	
2.500E-01	1.204E+02	1.611E-01	1.206E+02	
