PSTAR: Stopping Powers and Range Tables for Protons

TIN                                                                     

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	3.240E+01	1.866E+00	3.427E+01	
1.500E-03	3.968E+01	1.859E+00	4.154E+01	
2.000E-03	4.582E+01	1.833E+00	4.765E+01	
2.500E-03	5.123E+01	1.799E+00	5.303E+01	
3.000E-03	5.612E+01	1.762E+00	5.788E+01	
4.000E-03	6.480E+01	1.688E+00	6.649E+01	
5.000E-03	7.245E+01	1.618E+00	7.407E+01	
6.000E-03	7.936E+01	1.553E+00	8.092E+01	
7.000E-03	8.572E+01	1.493E+00	8.722E+01	
8.000E-03	9.164E+01	1.439E+00	9.308E+01	
9.000E-03	9.720E+01	1.389E+00	9.859E+01	
1.000E-02	1.025E+02	1.343E+00	1.038E+02	
1.250E-02	1.131E+02	1.242E+00	1.143E+02	
1.500E-02	1.224E+02	1.159E+00	1.236E+02	
1.750E-02	1.308E+02	1.088E+00	1.319E+02	
2.000E-02	1.385E+02	1.027E+00	1.395E+02	
2.250E-02	1.455E+02	9.734E-01	1.464E+02	
2.500E-02	1.519E+02	9.263E-01	1.528E+02	
2.750E-02	1.579E+02	8.845E-01	1.588E+02	
3.000E-02	1.634E+02	8.469E-01	1.643E+02	
3.500E-02	1.734E+02	7.821E-01	1.741E+02	
4.000E-02	1.820E+02	7.280E-01	1.827E+02	
4.500E-02	1.895E+02	6.820E-01	1.902E+02	
5.000E-02	1.960E+02	6.423E-01	1.966E+02	
5.500E-02	2.016E+02	6.077E-01	2.022E+02	
6.000E-02	2.064E+02	5.771E-01	2.069E+02	
6.500E-02	2.104E+02	5.499E-01	2.109E+02	
7.000E-02	2.138E+02	5.255E-01	2.143E+02	
7.500E-02	2.165E+02	5.034E-01	2.170E+02	
8.000E-02	2.187E+02	4.834E-01	2.192E+02	
8.500E-02	2.204E+02	4.651E-01	2.209E+02	
9.000E-02	2.216E+02	4.484E-01	2.221E+02	
9.500E-02	2.224E+02	4.329E-01	2.229E+02	
1.000E-01	2.229E+02	4.187E-01	2.233E+02	
1.250E-01	2.207E+02	3.607E-01	2.210E+02	
1.500E-01	2.138E+02	3.182E-01	2.142E+02	
1.750E-01	2.049E+02	2.856E-01	2.052E+02	
2.000E-01	1.954E+02	2.596E-01	1.956E+02	
2.250E-01	1.860E+02	2.384E-01	1.863E+02	
2.500E-01	1.773E+02	2.207E-01	1.776E+02	
