PSTAR: Stopping Powers and Range Tables for Protons

TITANIUM                                                                

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	6.088E+01	6.201E+00	6.708E+01	
1.500E-03	7.456E+01	5.821E+00	8.038E+01	
2.000E-03	8.610E+01	5.475E+00	9.157E+01	
2.500E-03	9.626E+01	5.170E+00	1.014E+02	
3.000E-03	1.054E+02	4.902E+00	1.103E+02	
4.000E-03	1.218E+02	4.455E+00	1.262E+02	
5.000E-03	1.361E+02	4.096E+00	1.402E+02	
6.000E-03	1.491E+02	3.802E+00	1.529E+02	
7.000E-03	1.611E+02	3.554E+00	1.646E+02	
8.000E-03	1.722E+02	3.343E+00	1.755E+02	
9.000E-03	1.826E+02	3.160E+00	1.858E+02	
1.000E-02	1.925E+02	2.999E+00	1.955E+02	
1.250E-02	2.123E+02	2.671E+00	2.150E+02	
1.500E-02	2.296E+02	2.418E+00	2.320E+02	
1.750E-02	2.451E+02	2.214E+00	2.473E+02	
2.000E-02	2.591E+02	2.047E+00	2.611E+02	
2.250E-02	2.718E+02	1.906E+00	2.737E+02	
2.500E-02	2.835E+02	1.786E+00	2.853E+02	
2.750E-02	2.942E+02	1.683E+00	2.959E+02	
3.000E-02	3.041E+02	1.592E+00	3.057E+02	
3.500E-02	3.216E+02	1.439E+00	3.230E+02	
4.000E-02	3.365E+02	1.317E+00	3.378E+02	
4.500E-02	3.491E+02	1.216E+00	3.503E+02	
5.000E-02	3.598E+02	1.130E+00	3.609E+02	
5.500E-02	3.687E+02	1.058E+00	3.698E+02	
6.000E-02	3.760E+02	9.947E-01	3.770E+02	
6.500E-02	3.820E+02	9.396E-01	3.829E+02	
7.000E-02	3.867E+02	8.908E-01	3.875E+02	
7.500E-02	3.902E+02	8.474E-01	3.910E+02	
8.000E-02	3.927E+02	8.084E-01	3.935E+02	
8.500E-02	3.944E+02	7.732E-01	3.951E+02	
9.000E-02	3.952E+02	7.413E-01	3.959E+02	
9.500E-02	3.953E+02	7.121E-01	3.960E+02	
1.000E-01	3.948E+02	6.854E-01	3.955E+02	
1.250E-01	3.854E+02	5.792E-01	3.860E+02	
1.500E-01	3.693E+02	5.036E-01	3.698E+02	
1.750E-01	3.510E+02	4.469E-01	3.514E+02	
2.000E-01	3.326E+02	4.025E-01	3.330E+02	
2.250E-01	3.154E+02	3.667E-01	3.158E+02	
2.500E-01	2.996E+02	3.373E-01	3.000E+02	
