PSTAR: Stopping Powers and Range Tables for Protons

TUNGSTEN                                                                

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

1.000E-03	1.497E+01	9.926E-01	1.596E+01	
1.500E-03	1.834E+01	1.011E+00	1.935E+01	
2.000E-03	2.117E+01	1.014E+00	2.219E+01	
2.500E-03	2.367E+01	1.010E+00	2.468E+01	
3.000E-03	2.593E+01	1.002E+00	2.693E+01	
4.000E-03	2.994E+01	9.814E-01	3.092E+01	
5.000E-03	3.347E+01	9.579E-01	3.443E+01	
6.000E-03	3.667E+01	9.338E-01	3.760E+01	
7.000E-03	3.961E+01	9.102E-01	4.052E+01	
8.000E-03	4.234E+01	8.874E-01	4.323E+01	
9.000E-03	4.491E+01	8.657E-01	4.578E+01	
1.000E-02	4.734E+01	8.450E-01	4.819E+01	
1.250E-02	5.230E+01	7.977E-01	5.310E+01	
1.500E-02	5.670E+01	7.562E-01	5.746E+01	
1.750E-02	6.068E+01	7.195E-01	6.140E+01	
2.000E-02	6.433E+01	6.869E-01	6.502E+01	
2.250E-02	6.770E+01	6.578E-01	6.836E+01	
2.500E-02	7.084E+01	6.315E-01	7.148E+01	
2.750E-02	7.378E+01	6.077E-01	7.439E+01	
3.000E-02	7.655E+01	5.859E-01	7.713E+01	
3.500E-02	8.161E+01	5.477E-01	8.216E+01	
4.000E-02	8.615E+01	5.151E-01	8.667E+01	
4.500E-02	9.024E+01	4.868E-01	9.073E+01	
5.000E-02	9.395E+01	4.620E-01	9.441E+01	
5.500E-02	9.730E+01	4.400E-01	9.774E+01	
6.000E-02	1.003E+02	4.204E-01	1.008E+02	
6.500E-02	1.031E+02	4.028E-01	1.035E+02	
7.000E-02	1.056E+02	3.868E-01	1.060E+02	
7.500E-02	1.078E+02	3.722E-01	1.082E+02	
8.000E-02	1.099E+02	3.589E-01	1.102E+02	
8.500E-02	1.117E+02	3.467E-01	1.120E+02	
9.000E-02	1.133E+02	3.353E-01	1.136E+02	
9.500E-02	1.147E+02	3.248E-01	1.150E+02	
1.000E-01	1.160E+02	3.151E-01	1.163E+02	
1.250E-01	1.200E+02	2.749E-01	1.203E+02	
1.500E-01	1.212E+02	2.449E-01	1.214E+02	
1.750E-01	1.205E+02	2.215E-01	1.207E+02	
2.000E-01	1.185E+02	2.026E-01	1.187E+02	
2.250E-01	1.159E+02	1.870E-01	1.161E+02	
2.500E-01	1.129E+02	1.739E-01	1.131E+02	
